fake_id,3,47,191,217,501,503,505,512,514,9003,9004,9005,9006,overall_total
1015-1024,217,107,506,87,340,382,349,365,175,0,17,76,0,2621
3975-3975,3,1,46,1,130,12,4,24,2,0,5,2,0,230
2290-2293,88,47,232,49,137,182,131,126,71,0,15,18,2,1098
4453-4461,37,79,465,59,313,425,73,770,56,0,45,58,0,2380
4813-4813,0,0,53,0,8,2,2,117,3,0,2,0,0,187
397-401,120,39,263,43,175,245,197,175,74,0,14,24,1,1370
7398-7401,8,14,157,6,446,37,14,329,4,0,22,9,0,1046
5939-5939,0,0,6,0,0,1,0,15,0,0,0,1,0,23
6119-6125,22,28,662,44,312,198,77,491,35,0,30,21,0,1920
5513-5520,17,11,398,38,300,234,30,971,42,0,43,29,0,2113
1806-1814,229,93,423,90,321,352,342,358,171,9,28,59,1,2476
7679-7679,1,0,21,1,16,3,3,73,2,0,1,1,0,122
7436-7442,34,15,486,36,238,334,42,593,35,0,26,34,4,1877
1249-1264,517,108,544,100,754,539,378,828,260,1,57,85,10,4181
2032-2034,26,52,235,59,48,243,37,99,25,0,3,4,0,831
5877-5882,7,6,639,6,65,85,21,754,11,0,23,1,0,1618
6231-6235,52,15,414,33,194,132,91,370,25,0,24,44,0,1394
7043-7051,12,26,364,79,260,312,115,1038,88,0,34,33,0,2361
7497-7508,71,47,616,255,575,404,185,733,73,3,28,40,6,3036
7346-7346,5,0,53,1,4,0,0,198,2,0,3,2,0,268
7907-7910,11,7,265,15,334,92,17,216,16,0,15,8,0,996
5648-5656,31,27,501,75,270,356,80,877,102,1,27,46,0,2393
1419-1431,228,180,723,157,482,549,449,348,177,0,18,44,2,3357
6789-6795,15,11,433,19,75,131,32,924,25,0,57,0,0,1722
3997-3999,4,3,214,9,55,51,8,398,14,0,7,9,0,772
303-317,354,128,711,144,532,623,511,551,257,1,35,90,2,3939
6592-6594,2,9,77,6,84,61,20,301,30,0,9,5,0,604
1444-1454,204,115,635,161,400,495,431,453,156,0,27,43,3,3123
973-980,105,70,472,114,324,356,259,291,107,5,19,21,0,2143
318-325,158,58,409,66,268,374,269,292,125,0,24,44,0,2087
7297-7304,128,40,384,61,315,391,166,521,62,0,34,98,1,2201
5218-5225,78,29,437,37,292,192,146,420,60,0,17,45,0,1753
7826-7835,13,16,340,19,436,572,39,1073,33,5,24,24,0,2594
5792-5799,14,21,343,48,194,230,71,688,88,0,35,42,0,1774
3221-3222,8,3,68,4,50,48,35,280,13,0,5,8,0,522
5924-5924,0,1,54,3,11,7,0,130,5,0,4,0,0,215
6918-6919,0,0,78,0,10,4,0,123,1,0,3,0,0,219
3086-3087,2,4,34,6,50,16,5,208,2,0,2,7,0,336
3078-3081,70,33,167,50,197,167,154,125,71,0,15,21,4,1074
7105-7106,3,4,147,3,32,43,12,281,6,0,1,5,0,537
776-778,66,22,177,37,112,123,131,88,57,0,8,7,0,828
3756-3757,3,1,84,1,20,7,1,310,3,0,8,2,0,440
831-842,303,100,582,100,451,518,392,473,150,1,25,76,0,3171
5521-5526,14,11,357,16,220,170,27,687,34,1,32,16,0,1585
6466-6466,2,0,26,3,9,9,1,83,1,0,5,0,0,139
7347-7354,70,5,437,10,75,46,27,994,14,0,39,13,0,1730
7622-7628,19,10,538,65,213,180,61,669,20,1,17,31,1,1825
6788-6788,1,0,111,0,3,6,1,45,0,0,1,1,0,169
3423-3434,94,38,630,79,444,600,172,636,66,0,45,47,0,2851
5527-5528,3,3,250,9,25,48,5,119,2,0,8,15,0,487
6051-6058,37,18,741,77,183,271,57,728,33,11,27,27,0,2210
7886-7887,4,5,41,7,46,32,8,231,11,0,4,3,0,392
3071-3077,96,66,301,97,303,216,238,164,113,0,13,32,0,1639
5276-5284,10,21,652,35,200,284,48,1050,29,0,39,30,0,2398
1455-1465,203,114,619,131,353,412,364,398,170,0,16,59,0,2839
1299-1307,287,98,288,71,420,348,286,387,131,0,22,82,5,2425
452-456,126,35,195,29,167,210,174,199,116,7,13,34,0,1305
5626-5637,20,38,692,78,279,409,115,1031,146,0,30,62,0,2900
3300-3306,94,39,251,62,223,342,140,616,83,5,28,33,6,1922
3968-3974,15,11,587,20,116,106,35,809,27,0,31,27,0,1784
685-697,219,90,736,175,497,524,486,399,172,6,27,80,0,3411
6579-6580,0,0,40,5,28,6,5,173,10,0,17,0,0,284
4872-4873,11,9,59,10,85,38,44,121,14,0,7,16,0,414
5937-5937,0,0,50,0,1,2,0,72,0,0,0,0,0,125
4814-4819,23,19,411,6,107,91,35,637,17,0,12,29,0,1387
3376-3381,74,8,309,22,131,132,63,385,28,0,11,21,1,1185
3268-3276,106,48,283,81,234,350,148,692,83,0,14,62,1,2102
4705-4721,26,33,625,62,570,1205,76,1439,83,0,42,42,0,4203
6740-6743,4,3,261,10,72,57,15,487,7,0,16,0,0,932
1124-1131,127,61,439,96,270,342,318,246,121,1,25,42,0,2088
923-934,272,100,656,116,390,455,409,484,154,21,42,87,3,3189
7221-7221,0,0,0,0,0,0,0,0,0,0,1,7,0,8
4995-5004,60,35,582,76,240,303,131,756,50,0,29,46,1,2309
5369-5374,16,16,248,40,233,162,58,673,78,0,29,32,0,1585
3732-3744,203,81,531,101,442,508,339,652,178,5,54,104,4,3202
4797-4797,0,0,8,0,5,0,0,42,1,0,0,0,0,56
3730-3731,28,11,74,17,65,100,57,131,29,0,4,26,0,542
4259-4268,25,29,442,50,1162,304,74,635,52,0,30,51,0,2854
7759-7769,48,17,662,65,418,522,85,594,65,0,26,35,0,2537
6841-6842,1,1,43,2,17,27,4,184,7,0,3,0,0,289
6782-6782,0,0,44,4,3,21,5,88,1,0,2,0,0,168
1343-1348,118,109,319,51,239,238,212,186,96,2,12,35,2,1619
2981-2983,77,26,120,19,124,130,105,108,54,9,11,20,0,803
819-830,318,90,570,135,475,474,431,471,207,0,21,87,0,3279
6289-6298,23,10,702,32,317,449,64,955,30,7,44,38,0,2671
4212-4225,44,73,725,113,1348,557,182,535,67,0,42,73,0,3759
637-642,137,30,215,32,208,206,92,290,74,0,22,25,0,1331
3169-3177,30,17,360,59,455,205,131,941,47,0,62,18,0,2325
6425-6425,0,0,6,0,1,1,0,16,2,0,0,0,0,26
5012-5016,27,11,347,51,131,161,70,381,28,0,8,29,0,1244
252-261,144,90,556,104,276,484,307,290,110,1,21,44,1,2428
7725-7725,0,0,7,1,9,10,8,72,4,0,1,2,0,114
444-451,228,55,318,70,369,330,210,317,158,0,12,70,0,2137
47-63,213,121,879,182,529,581,495,476,177,0,34,56,1,3744
6931-6935,2,3,154,11,21,57,16,848,14,0,9,4,0,1139
5113-5122,97,46,560,130,363,511,188,461,116,0,24,59,0,2555
1439-1443,85,65,261,70,173,217,217,182,70,0,13,28,0,1381
3257-3267,150,76,433,109,356,540,214,884,115,1,43,66,1,2988
7982-7986,4,7,195,18,489,122,15,322,9,0,16,2,1,1200
4722-4732,19,21,425,38,376,872,50,1002,33,0,30,49,0,2915
2658-2668,254,89,512,100,408,413,315,606,158,0,27,55,1,2938
2543-2550,192,71,390,75,281,346,236,374,130,0,21,69,0,2185
6581-6586,25,12,480,14,220,55,27,712,24,0,23,32,0,1624
4963-4970,39,31,526,41,196,298,112,633,35,0,23,42,0,1976
6154-6163,95,47,657,71,309,320,177,924,98,0,50,41,5,2794
2623-2626,136,31,206,25,176,155,90,159,68,0,17,29,1,1093
6012-6018,45,7,407,22,133,140,43,972,39,0,44,24,0,1876
1739-1756,298,208,1108,236,661,753,639,540,261,2,34,87,1,4828
7233-7233,15,1,41,13,55,28,23,99,7,0,2,1,0,285
6460-6461,12,2,47,52,119,15,9,320,9,0,4,2,0,591
1607-1618,261,104,593,110,408,443,417,395,233,0,27,47,1,3039
5855-5855,1,1,27,0,27,26,3,66,57,0,6,1,0,215
3644-3653,97,72,421,133,464,558,293,258,107,0,19,35,2,2459
5504-5512,22,16,514,33,336,273,45,1086,42,0,55,12,0,2434
436-443,217,74,291,43,423,232,195,384,100,0,23,32,0,2014
6715-6724,27,24,613,39,354,194,71,1155,43,0,43,50,0,2613
4185-4199,44,58,765,114,1297,568,154,587,89,5,46,65,4,3796
5017-5018,11,4,39,12,231,40,34,152,10,0,5,4,0,542
7272-7278,42,14,602,29,124,166,78,760,27,0,30,25,0,1897
3573-3583,95,40,381,69,353,753,275,546,62,4,20,49,0,2647
6001-6001,5,2,94,4,72,6,7,49,2,0,1,0,0,242
7423-7429,17,29,534,40,170,290,75,600,22,0,22,50,0,1849
4362-4362,0,0,14,0,12,2,0,17,0,0,2,2,0,49
2350-2354,167,26,199,13,295,99,87,311,71,11,30,35,0,1344
7878-7885,14,11,601,30,323,247,28,777,26,0,48,9,0,2114
1054-1063,154,97,639,141,313,553,366,313,122,0,23,43,0,2764
1777-1787,295,101,517,121,471,430,383,408,154,0,25,93,1,2999
6684-6684,0,0,26,2,15,12,3,39,3,0,1,0,0,101
5209-5217,81,34,416,47,217,260,164,572,62,0,33,38,0,1924
732-738,79,30,438,122,213,328,207,164,81,1,17,13,3,1696
7853-7854,0,2,70,4,27,40,8,307,1,0,14,0,0,473
568-586,232,178,1223,275,622,819,670,578,190,1,28,59,4,4879
5446-5452,5,9,471,14,725,93,25,393,29,0,25,14,0,1803
948-955,90,88,535,134,275,409,294,202,97,0,11,16,0,2151
5883-5887,4,6,536,12,58,61,15,613,4,0,18,2,1,1330
4359-4360,7,0,285,0,33,6,0,112,0,0,4,7,0,454
