dne_id,lat,lon
6437,-32.3198961807427,-64.2770732469508
6438,-32.3231998286861,-64.2786387550027
6440,-32.3572316932,-64.8517217541
6441,-32.5294264194559,-64.590438988203
6443,-32.18631,-64.480178
6444,-31.9725062435806,-64.3745196612617
6445,-30.5386720894,-65.2323155681
6446,-32.0739359241121,-64.5285938362931
6447,-32.0739359241121,-64.5285938362931
6450,-31.8289453,-64.5214106
6451,-31.9923407503,-64.906155239
6455,-32.3766557,-64.6343311
6456,-32.2405168,-64.523143
6461,-32.1794763463507,-64.4563515240233
6462,-32.3572316932,-64.8517217541
6463,-31.8546267910076,-64.3778330777501
6464,-32.1649072663307,-64.3784893708199
6465,-29.8813705,-63.4820801
6466,-31.89205,-64.76958
6467,-31.0082966,-64.2676092
6469,-31.3474081168974,-64.3374404557993
6470,-31.3474081168974,-64.3374404557993
6471,-31.3430828233215,-64.3347476685618
6473,-31.0212250468766,-64.066372821562
6474,-31.0061765414851,-64.0721367011712
6475,-31.0464305052267,-64.0433396967404
6476,-31.0061765414851,-64.0721367011712
6480,-31.1352458,-64.1406522
6481,-30.9819310019104,-64.0973504219082
6484,-30.980867434058,-64.0949956674347
6485,-30.9819310019104,-64.0973504219082
6489,-31.295768994883,-64.176120000102
6490,-31.3753250341225,-64.0529419859701
6491,-31.3753250341225,-64.0529419859701
6495,-31.1710537605153,-64.3161380845202
6497,-31.1665995727831,-64.3220803525644
6499,-31.1362369949794,-64.2981720001128
6500,-31.1378539949784,-64.2882310001119
6504,-31.227747552061,-64.3173583225707
6505,-31.2415773457816,-64.3058143444001
6507,-31.288036832453,-64.297686825101
6508,-31.2905600662389,-64.2984676448242
6509,-31.2954758117494,-64.2973235133589
6517,-29.8135599,-63.75524
6519,-31.0283748464,-64.0175903665
6522,-31.2671479949002,-64.3028820001131
6523,-31.3139019948721,-64.3069590001135
6524,-31.3138199948721,-64.3094370001137
6526,-30.7944595958227,-65.0386581660809
6527,-31.0970547608,-64.8556675865
6530,-30.7345255419387,-64.7934302163159
6537,-30.7984200994,-64.3015645669
6538,-30.6484690813284,-64.9236515261867
6539,-30.7668118,-65.1906047
6542,-30.7830466659,-64.6373062323
6544,-30.8594187908139,-64.9823930831559
6546,-30.8562228095662,-64.9868169705681
6547,-30.8562228095662,-64.9868169705681
6550,-31.0666792854,-64.942889289
6554,-31.4031486,-63.3265208
6555,-30.7973209774531,-65.1915561956206
6556,-30.3179912957,-65.1232154373
6557,-30.3853054514,-65.1541757776
6559,-30.3718583415,-65.308921373
6579,-32.360864067191,-63.5039039630343
6580,-32.360864067191,-63.5039039630343
6583,-32.9096104583567,-63.1298695710763
6584,-32.9096104583567,-63.1298695710763
6585,-32.8021193349333,-63.2412265290914
6586,-32.040239961052,-63.1239502008503
6587,-32.5423456,-63.4782867
6588,-32.304504543,-63.2336866602
6589,-32.6122442585,-63.4093490688
6590,-32.8356216773,-63.4004342842
6591,-32.5277992,-63.2488296
6592,-32.2500413,-62.9301068
6593,-32.6949031777,-63.4350871217
6594,-32.2913386262478,-63.4619536612398
6595,-32.4665617950492,-63.1481429000128
6596,-32.4123005653381,-63.249753759393
6597,-32.4178115073494,-63.2460789278608
6601,-32.40411656601,-63.2452505902959
6604,-32.4049,-63.2495
6605,-32.4093,-63.2386
6606,-32.4117,-63.2471
6608,-32.4369324388191,-63.2483574684477
6612,-32.4285781449909,-63.2482323743
6613,-30.9762508323,-63.0707844317
6614,-32.3140295503,-63.515165789
6615,-30.5951751,-64.2065994
6617,-30.6157735,-64.5573854
6618,-30.4687558561005,-64.65882787933
6622,-30.4237302806056,-64.3557550956177
6624,-30.4369231995461,-64.3695220165536
6625,-30.5800311338,-64.3653715702
6626,-30.4094967249,-64.538726844
6631,-30.4836571474983,-64.3071791652793
6635,-33.2964531945926,-63.6563213000562
6636,-33.2964531945926,-63.6563213000562
6638,-33.0257562650977,-63.6687411623127
6639,-32.8129099948569,-63.8739500000733
6641,-32.8129099948569,-63.8739500000733
6642,-32.8129099948569,-63.8739500000733
6643,-32.9120041948022,-64.0226561000879
6644,-33.0247005,-64.0484289
6646,-32.7564299948881,-63.7861200000652
6647,-32.7564299948881,-63.7861200000652
6648,-33.6649178,-63.5423588
6650,-33.420136292495,-63.293723828508
6652,-33.420995689647,-63.299674224372
6654,-33.0447006947295,-63.9053802000777
6656,-33.1814613,-63.2894897
6657,-33.0320599947361,-63.5057300000384
6658,-33.0320599947361,-63.5057300000384
6661,-33.607163239842,-62.6223607943853
6662,-33.6071599944251,-62.6223599999389
6663,-33.6411199944074,-62.4028899999092
6664,-33.6411199944074,-62.4028899999092
6665,-33.1233199946867,-62.3039199998891
6666,-32.9442699947848,-62.2278199998749
6667,-33.1281099946846,-62.0935399998555
6669,-33.4730141944975,-62.3389569999435
6670,-33.2827015946985,-62.1911065333711
6671,-33.2827015946985,-62.1911065333711
6672,-33.2827015946985,-62.1911065333711
6673,-33.2827015946985,-62.1911065333711
6674,-33.0078999947513,-61.8061899998051
6675,-33.0078999947513,-61.8061899998051
6680,-33.3181093489324,-62.3803071437811
6682,-32.6585699949426,-62.3004999998836
6683,-32.6585699949426,-62.3004999998836
6684,-32.6585699949426,-62.3004999998836
6685,-32.9846299947632,-62.0238999998414
6686,-32.6992897338769,-62.0997890876545
6687,-32.6972529081777,-62.1011931720468
6688,-32.7031140197544,-62.1083669572795
6690,-32.6933784820405,-62.1106312838154
6691,-32.6959888148286,-62.1088448705127
6692,-32.9155099948003,-62.4561799999106
6693,-32.9155099948003,-62.4561799999106
6694,-32.9155099948003,-62.4561799999106
6696,-32.7307899949033,-61.9163899998173
6697,-32.7307899949033,-61.9163899998173
6698,-32.4089031808817,-62.1020669205226
6700,-32.835369076,-62.2938591903
6701,-31.0411545078,-65.2825117208
6702,-31.0891356625271,-65.3410607455401
6703,-31.2229115488,-65.3027358518
6704,-30.8061198623,-65.430026518
6706,-30.9050633862649,-65.266313819628
6707,-31.0506506,-65.3438143
6710,-30.8497002734,-65.3650903792
6712,-31.2167031834,-65.2465584464
6713,-30.7999933037673,-65.6665944935893
6719,-31.5817818826,-65.3805344388
6720,-30.3916217784,-64.8808005135
