mesa_desde,mesa_hasta,vot_parcodigo,total
377,388,217,126
377,388,501,349
377,388,503,559
377,388,505,451
377,388,512,434
377,388,514,208
377,388,9003,0
377,388,9004,16
377,388,9005,95
377,388,9006,4
389,396,003,444
389,396,047,87
389,396,191,219
389,396,217,87
389,396,501,249
389,396,503,354
389,396,505,274
389,396,512,310
389,396,514,115
389,396,9003,1
389,396,9004,17
389,396,9005,49
389,396,9006,2
397,401,003,263
397,401,047,43
397,401,191,120
397,401,217,39
397,401,501,175
397,401,503,245
397,401,505,197
397,401,512,175
397,401,514,74
397,401,9003,0
397,401,9004,14
397,401,9005,24
397,401,9006,1
402,413,003,653
402,413,047,130
402,413,191,283
402,413,217,111
402,413,501,444
402,413,503,519
402,413,505,417
402,413,512,429
402,413,514,218
402,413,9003,0
402,413,9004,27
402,413,9005,69
402,413,9006,2
414,419,003,193
414,419,047,23
414,419,191,127
414,419,217,39
414,419,501,281
414,419,503,151
414,419,505,131
414,419,512,229
414,419,514,74
414,419,9003,0
414,419,9004,13
414,419,9005,32
414,419,9006,0
420,427,003,259
420,427,047,40
420,427,191,190
420,427,217,57
420,427,501,412
420,427,503,275
420,427,505,204
420,427,512,397
420,427,514,106
420,427,9003,0
420,427,9004,29
420,427,9005,32
420,427,9006,2
428,435,003,262
428,435,047,37
428,435,191,176
428,435,217,45
428,435,501,437
428,435,503,261
428,435,505,218
428,435,512,376
428,435,514,110
428,435,9003,4
428,435,9004,25
428,435,9005,33
428,435,9006,2
436,443,003,291
436,443,047,43
436,443,191,217
436,443,217,74
436,443,501,423
436,443,503,232
436,443,505,195
436,443,512,384
436,443,514,100
436,443,9003,0
436,443,9004,23
436,443,9005,32
436,443,9006,0
444,451,003,318
444,451,047,70
444,451,191,228
444,451,217,55
444,451,501,369
444,451,503,330
444,451,505,210
444,451,512,317
444,451,514,158
444,451,9003,0
444,451,9004,12
444,451,9005,70
444,451,9006,0
452,456,003,195
452,456,047,29
452,456,191,126
452,456,217,35
452,456,501,167
452,456,503,210
452,456,505,174
452,456,512,199
452,456,514,116
452,456,9003,7
452,456,9004,13
452,456,9005,34
452,456,9006,0
457,468,003,398
457,468,047,51
457,468,191,391
457,468,217,83
457,468,501,602
457,468,503,367
457,468,505,245
457,468,512,885
457,468,514,141
457,468,9003,0
457,468,9004,41
457,468,9005,112
457,468,9006,4
469,477,003,460
469,477,047,87
469,477,191,173
469,477,217,74
469,477,501,297
469,477,503,347
469,477,505,313
469,477,512,299
469,477,514,124
469,477,9003,0
469,477,9004,21
469,477,9005,54
469,477,9006,0
478,490,003,597
478,490,047,126
478,490,191,237
478,490,217,97
478,490,501,425
478,490,503,449
478,490,505,462
478,490,512,396
478,490,514,161
478,490,9003,0
478,490,9004,38
478,490,9005,55
478,490,9006,3
491,501,003,449
491,501,047,88
491,501,191,171
491,501,217,74
491,501,501,260
491,501,503,343
491,501,505,338
491,501,512,305
491,501,514,109
491,501,9003,16
491,501,9004,17
491,501,9005,52
491,501,9006,0
502,510,003,412
502,510,047,92
502,510,191,183
502,510,217,83
502,510,501,281
502,510,503,365
502,510,505,338
502,510,512,303
502,510,514,89
502,510,9003,0
502,510,9004,19
502,510,9005,44
502,510,9006,0
511,517,003,355
511,517,047,76
511,517,191,135
511,517,217,61
511,517,501,247
511,517,503,243
511,517,505,257
511,517,512,236
511,517,514,106
511,517,9003,0
511,517,9004,15
511,517,9005,49
511,517,9006,0
518,522,003,99
518,522,047,26
518,522,191,139
518,522,217,29
518,522,501,342
518,522,503,128
518,522,505,76
518,522,512,257
518,522,514,65
518,522,9003,0
518,522,9004,15
518,522,9005,26
518,522,9006,0
523,526,003,154
523,526,047,18
523,526,191,138
523,526,217,28
523,526,501,186
523,526,503,162
523,526,505,109
523,526,512,229
523,526,514,56
523,526,9003,0
523,526,9004,10
523,526,9005,15
523,526,9006,0
527,534,003,253
527,534,047,36
527,534,191,220
527,534,217,49
527,534,501,291
527,534,503,277
527,534,505,176
527,534,512,441
527,534,514,94
527,534,9003,11
527,534,9004,34
527,534,9005,61
527,534,9006,1
535,543,003,468
535,543,047,85
535,543,191,149
535,543,217,64
535,543,501,245
535,543,503,333
535,543,505,309
535,543,512,444
535,543,514,102
535,543,9003,0
535,543,9004,14
535,543,9005,39
535,543,9006,0
544,550,003,357
544,550,047,60
544,550,191,129
544,550,217,55
544,550,501,187
544,550,503,282
544,550,505,264
544,550,512,312
544,550,514,100
544,550,9003,0
544,550,9004,19
544,550,9005,14
544,550,9006,0
551,552,003,32
551,552,047,5
551,552,191,38
551,552,217,4
551,552,501,47
551,552,503,32
551,552,505,29
551,552,512,127
551,552,514,19
551,552,9003,1
551,552,9004,5
551,552,9005,2
551,552,9006,0
553,553,003,40
553,553,047,5
553,553,191,22
553,553,217,1
553,553,501,28
553,553,503,31
553,553,505,13
553,553,512,54
553,553,514,9
553,553,9003,0
553,553,9004,4
553,553,9005,3
553,553,9006,0
554,567,003,906
554,567,047,226
554,567,191,153
554,567,217,138
554,567,501,428
554,567,503,619
554,567,505,504
554,567,512,388
554,567,514,139
554,567,9003,1
554,567,9004,20
554,567,9005,61
554,567,9006,0
568,586,003,1223
568,586,047,275
568,586,191,232
568,586,217,178
568,586,501,622
568,586,503,819
568,586,505,670
568,586,512,578
568,586,514,190
568,586,9003,1
568,586,9004,28
568,586,9005,59
568,586,9006,4
587,596,003,547
587,596,047,151
587,596,191,105
587,596,217,104
587,596,501,360
587,596,503,437
587,596,505,365
587,596,512,309
587,596,514,101
587,596,9003,0
587,596,9004,15
587,596,9005,35
587,596,9006,1
597,607,003,587
597,607,047,149
597,607,191,105
597,607,217,94
597,607,501,377
597,607,503,386
597,607,505,378
597,607,512,276
597,607,514,95
597,607,9003,1
597,607,9004,18
597,607,9005,24
597,607,9006,1
608,612,003,146
608,612,047,34
608,612,191,108
608,612,217,46
608,612,501,153
608,612,503,140
608,612,505,68
608,612,512,495
608,612,514,64
608,612,9003,0
608,612,9004,28
608,612,9005,28
608,612,9006,1
613,624,003,466
613,624,047,109
613,624,191,275
613,624,217,94
613,624,501,404
613,624,503,429
613,624,505,362
613,624,512,659
613,624,514,194
613,624,9003,0
613,624,9004,38
613,624,9005,70
613,624,9006,2
625,635,003,450
625,635,047,95
625,635,191,222
625,635,217,91
625,635,501,372
625,635,503,392
625,635,505,319
625,635,512,675
625,635,514,173
625,635,9003,0
625,635,9004,38
625,635,9005,81
625,635,9006,0
636,636,003,29
636,636,047,6
636,636,191,15
636,636,217,2
636,636,501,18
636,636,503,21
636,636,505,11
636,636,512,48
636,636,514,4
636,636,9003,0
636,636,9004,4
636,636,9005,2
636,636,9006,0
637,642,003,215
637,642,047,32
637,642,191,137
637,642,217,30
637,642,501,208
637,642,503,206
637,642,505,92
637,642,512,290
637,642,514,74
637,642,9003,0
637,642,9004,22
637,642,9005,25
637,642,9006,0
643,655,003,512
643,655,047,68
643,655,191,374
643,655,217,79
643,655,501,388
643,655,503,472
643,655,505,293
643,655,512,727
643,655,514,202
643,655,9003,21
643,655,9004,46
643,655,9005,74
643,655,9006,1
656,673,003,1068
656,673,047,214
656,673,191,283
656,673,217,122
656,673,501,718
656,673,503,789
656,673,505,597
656,673,512,554
656,673,514,238
656,673,9003,0
656,673,9004,44
656,673,9005,83
656,673,9006,0
674,684,003,611
674,684,047,133
674,684,191,195
674,684,217,88
674,684,501,439
674,684,503,454
674,684,505,405
674,684,512,334
674,684,514,130
674,684,9003,0
674,684,9004,19
674,684,9005,42
674,684,9006,3
685,697,003,736
685,697,047,175
685,697,191,219
685,697,217,90
685,697,501,497
685,697,503,524
685,697,505,486
685,697,512,399
685,697,514,172
685,697,9003,6
685,697,9004,27
685,697,9005,80
685,697,9006,0
698,709,003,652
698,709,047,155
698,709,191,215
698,709,217,82
698,709,501,497
698,709,503,484
698,709,505,433
698,709,512,368
698,709,514,173
698,709,9003,0
698,709,9004,29
698,709,9005,42
698,709,9006,3
710,720,003,575
710,720,047,143
710,720,191,176
710,720,217,67
710,720,501,400
710,720,503,467
710,720,505,437
710,720,512,401
710,720,514,150
710,720,9003,0
710,720,9004,19
710,720,9005,53
710,720,9006,2
721,721,003,1
721,721,047,1
721,721,191,3
721,721,217,0
721,721,501,2
721,721,503,1
721,721,505,0
721,721,512,1
721,721,514,0
721,721,9003,0
721,721,9004,0
721,721,9005,0
721,721,9006,0
722,731,003,613
722,731,047,163
722,731,191,109
722,731,217,65
722,731,501,352
722,731,503,451
722,731,505,310
722,731,512,239
722,731,514,103
722,731,9003,0
722,731,9004,21
722,731,9005,37
722,731,9006,1
732,738,003,438
732,738,047,122
732,738,191,79
732,738,217,30
732,738,501,213
732,738,503,328
732,738,505,207
732,738,512,164
732,738,514,81
732,738,9003,1
732,738,9004,17
732,738,9005,13
732,738,9006,3
739,747,003,515
739,747,047,126
739,747,191,113
739,747,217,58
739,747,501,271
739,747,503,401
739,747,505,315
739,747,512,258
739,747,514,103
739,747,9003,0
739,747,9004,20
739,747,9005,16
739,747,9006,0
748,761,003,811
748,761,047,139
748,761,191,279
748,761,217,96
748,761,501,540
748,761,503,586
748,761,505,569
748,761,512,476
748,761,514,252
748,761,9003,0
748,761,9004,22
748,761,9005,69
748,761,9006,3
762,775,003,681
762,775,047,156
762,775,191,296
762,775,217,115
762,775,501,494
762,775,503,498
762,775,505,547
762,775,512,440
762,775,514,222
762,775,9003,0
762,775,9004,35
762,775,9005,75
762,775,9006,3
776,778,003,177
776,778,047,37
776,778,191,66
776,778,217,22
776,778,501,112
776,778,503,123
776,778,505,131
776,778,512,88
776,778,514,57
776,778,9003,0
776,778,9004,8
776,778,9005,7
776,778,9006,0
779,786,003,446
779,786,047,76
779,786,191,151
779,786,217,59
779,786,501,299
779,786,503,342
779,786,505,281
779,786,512,278
779,786,514,132
779,786,9003,0
779,786,9004,23
779,786,9005,34
779,786,9006,3
787,793,003,382
787,793,047,77
787,793,191,145
787,793,217,55
787,793,501,269
787,793,503,284
787,793,505,258
787,793,512,255
787,793,514,109
787,793,9003,0
787,793,9004,13
787,793,9005,35
787,793,9006,2
794,803,003,530
794,803,047,107
794,803,191,258
794,803,217,76
794,803,501,350
794,803,503,458
794,803,505,317
794,803,512,391
794,803,514,143
794,803,9003,0
794,803,9004,18
794,803,9005,67
794,803,9006,2
804,812,003,449
804,812,047,60
804,812,191,198
804,812,217,63
804,812,501,270
804,812,503,393
804,812,505,238
804,812,512,322
804,812,514,106
804,812,9003,0
804,812,9004,19
804,812,9005,29
804,812,9006,0
813,818,003,314
813,818,047,48
813,818,191,160
813,818,217,43
813,818,501,195
813,818,503,285
813,818,505,191
813,818,512,253
813,818,514,81
813,818,9003,1
813,818,9004,31
813,818,9005,29
813,818,9006,1
819,830,003,570
819,830,047,135
819,830,191,318
819,830,217,90
819,830,501,475
819,830,503,474
819,830,505,431
819,830,512,471
819,830,514,207
819,830,9003,0
819,830,9004,21
819,830,9005,87
819,830,9006,0
831,842,003,582
831,842,047,100
831,842,191,303
831,842,217,100
831,842,501,451
831,842,503,518
831,842,505,392
831,842,512,473
831,842,514,150
831,842,9003,1
831,842,9004,25
831,842,9005,76
831,842,9006,0
843,844,003,93
843,844,047,18
843,844,191,55
843,844,217,23
843,844,501,91
843,844,503,84
843,844,505,63
843,844,512,58
843,844,514,29
843,844,9003,0
843,844,9004,5
843,844,9005,14
843,844,9006,0
845,846,003,85
845,846,047,8
845,846,191,67
845,846,217,11
845,846,501,99
845,846,503,72
845,846,505,67
845,846,512,82
845,846,514,21
845,846,9003,0
845,846,9004,5
845,846,9005,12
845,846,9006,0
847,852,003,326
847,852,047,55
847,852,191,170
847,852,217,49
847,852,501,236
847,852,503,238
847,852,505,188
847,852,512,216
847,852,514,75
847,852,9003,0
847,852,9004,6
847,852,9005,34
847,852,9006,1
853,854,003,55
853,854,047,10
853,854,191,47
853,854,217,13
853,854,501,90
853,854,503,57
853,854,505,52
853,854,512,96
853,854,514,19
853,854,9003,0
853,854,9004,11
853,854,9005,14
853,854,9006,0
855,865,003,614
855,865,047,99
855,865,191,235
855,865,217,126
855,865,501,341
855,865,503,386
855,865,505,314
855,865,512,595
855,865,514,120
855,865,9003,1
855,865,9004,33
855,865,9005,36
855,865,9006,3
866,872,003,364
866,872,047,87
866,872,191,131
866,872,217,46
866,872,501,199
866,872,503,294
866,872,505,219
866,872,512,284
866,872,514,100
866,872,9003,10
866,872,9004,12
866,872,9005,27
866,872,9006,0
873,880,003,478
873,880,047,83
873,880,191,159
873,880,217,67
873,880,501,240
873,880,503,319
873,880,505,264
873,880,512,301
873,880,514,88
873,880,9003,0
873,880,9004,26
873,880,9005,45
873,880,9006,0
881,890,003,515
881,890,047,90
881,890,191,190
881,890,217,80
881,890,501,321
881,890,503,405
881,890,505,319
881,890,512,405
881,890,514,140
881,890,9003,1
881,890,9004,16
881,890,9005,61
881,890,9006,4
