latitude,longitude,cant_mesas,direccion,seccion,circuito,localidad,establecim,id,dne_seccio,hora
-64.4322199681656,-31.657772943396083,8,ESPAÑA (B°SUR) 26,21,316,ALTA GRACIA,ESCUELA MANUEL SOLARES,7100,21,20
-64.30225199565216,-31.065138271468516,6,AGUA DE ORO,3,0031A,AGUA DE ORO,ESC.PROV.V.MERCANTE,6517,3,20
-64.07860019890002,-31.75328436679997,1,PUBLICA S/N,21,322,COSME NORTE,ESC PROV OLEGARIO V ANDRADE,7110,21,20
-64.454392,-31.585442600000018,3,PUBLICA S/N,21,324,FALDA DEL CARMEN,ESC PROV DOMINGO F SARMIENTO,7113,21,20
-64.24082502019996,-31.910917353799995,2,ITALIA 0,21,327,MONTE RALO,ESC.DELL'ARMELLINA,7117,21,20
-64.19090000010226,-32.02552999529959,5,PABLO A PIZZURNO 149,23,338,CORRALITO,ESC PROV GRAL J DE SAN MARTIN,7147,23,20
-63.70534000005763,-32.700439994919236,6,LAS PERDICES,23,342,LAS PERDICES,ESC PROV DOMINGO F SARMIENTO,7156,23,20
-63.2003468175,-32.04599488369999,2,SAN MARTIN 346,23,343,LOS ZORROS,ESC VICENTE LOPEZ Y PLANES,7157,23,20
-63.570828068817335,-32.036683792437515,7,ALVEAR 320,23,344,OLIVA,ESC PROV BARTOLOME MITRE,7159,23,20
-63.80949804923109,-32.57595882891919,1,PUBLICA 0,23,347,PUNTA DEL AGUA,ESC.PROV.S.A.GUTIERREZ,7163,23,20
-64.13880704159997,-30.565239279599943,1,MACHA,24,353,MACHA,ESC CEFERINO NAMUNCURA,7182,24,20
-64.23328933530003,-30.870357375999976,1,PUBLICA S/N,24,354,SANTA CATALINA,ESC PROV GREGORIA MATORRAS,7183,24,20
-63.6523988177075,-30.574185891909014,2,8 DE DICIEMBRE S/N,24,358,CAPILLA DE SITON,ESC.PROV.24 DE SEPTIEMBRE,7187,24,20
-64.06816000009171,-30.702459996075625,9,BV.ALLENDE S/N,24,359,VILLA DEL TOTORAL,ESC PROV BARTOLOME MITRE,7189,24,20
-63.94937828211795,-30.3578345814114,6,LA DORMIDA,25,364,LA DORMIDA,ESC.PROV.F.N.LAPRIDA,7197,25,20
-63.47462041330291,-30.43146232354695,2,JAVIER GARCIA 0,25,367,R DEL SALADILLO,ESC.PROV.D.F.SARMIENTO,7201,25,20
-64.62205743789994,-30.0110447197,2,ONCATIVO 0,25,368,S.JOSE DE LAS SALINA,ESC.PROV.V.MERCANTE,7202,25,20
-62.886309786194495,-32.3457090892802,3,JULIO A ROCA 115,26,372,ALTO ALEGRE,ESC.PROV.DR.GARCIA GONZALEZ,7209,26,20
-62.691878043183166,-32.63400937756451,11,ENTRE RIOS 457,26,375,BELL VILLE,ESC F AMEGHINO,7213,26,20
-62.7320819,-33.4634427,1,PUBLICA S/N,26,377,BREMEN,ESC PROV ALMAFUERTE,7219,26,20
-62.509105699999935,-32.33244320000003,2,SANTA FE S/N,26,382,CHILIBROSTE,ESC PROV B QUINQUELA MARTIN,7224,26,20
-63.03324906879997,-32.81244599600002,5,9 DE JULIO 551,26,387,IDIAZABAL,ESC P ALBARRACIN DE SARMIENTO,7228,26,20
-62.85832470154751,-33.14988574560043,8,LABORDE,26,389,LABORDE,ESCUELA PROV DARDO ROCHA,7229,26,20
-62.588788600000015,-32.6112975,2,CARDO 146,26,390,MONTE LEÑA,ESC.PROV.D.F.SARMIENTO,7231,26,20
