"id","mesa_hasta","codigo_distrito","mesa_desde","codigo_postal","cant_mesas","direccion","seccion","circuito","localidad","distrito","establecimiento","dne_distrito_id","dne_seccion_id"
"6255","1492","4","1482","5000","11","J.B.COTTOLENGO 1955","1","0010J","CAPITAL","CÓRDOBA","ESCUELA DON ORIONE","4","1"
"6256","1518","4","1507","5000","12","BARBADOS Y HAITI B° VICOR","1","0010K","CAPITAL","CÓRDOBA","ESC BENITO SORIA","4","1"
"6257","1567","4","1562","5000","6","ARANI Y PJE. 17 V EL  LIBERTADOR","1","0010L","CAPITAL","CÓRDOBA","COL SAN JOSE OBRERO","4","1"
"6258","1542","4","1533","5000","10","DEFENSA Y CACHEUTA B°V.EL  LIBERTADOR 109","1","0010L","CAPITAL","CÓRDOBA","ESC MARTA JUANA GONZALEZ","4","1"
"6259","1550","4","1543","5000","8","PILCOMAYO S/N°V EL  LIBERTADOR","1","0010L","CAPITAL","CÓRDOBA","ESC MUNIC ALICIA MOREAU DE JUS","4","1"
"6261","1532","4","1525","5000","8","CALLE 49 S/N° VILLA EL  LIBERTADOR","1","0010L","CAPITAL","CÓRDOBA","ESC PROV DE SGO DEL ESTERO","4","1"
"6262","1561","4","1551","5000","11","TOTORAL Y ARICA B°SANTA  ROSA","1","0010L","CAPITAL","CÓRDOBA","ESC PTE DR ARTURO U ILLIA","4","1"
"6263","1576","4","1568","5000","9","ANIZACATE/CALLE 49 V. EL  LIBERTADOR","1","0010L","CAPITAL","CÓRDOBA","ESC VICENTE FORESTIERI","4","1"
"6267","1635","4","1629","5000","7","MONS DE ANDREA 1044 B° A  ALBERDI","1","0011A","CAPITAL","CÓRDOBA","ESC BLAS PARERA","4","1"
"6268","1670","4","1656","5000","15","AV COLON 2772 B° ALTO  ALBERDI","1","0011A","CAPITAL","CÓRDOBA","ESC JOSE MARIA PAZ","4","1"
"6269","1675","4","1671","5000","5","DUARTE QUIROS 3950 ALTO  ALBERDI","1","0011A","CAPITAL","CÓRDOBA","ESC MOYANO COUDERT","4","1"
"6270","1618","4","1607","5000","12","VELEZ 252 B° ALTO ALBERDI","1","0011A","CAPITAL","CÓRDOBA","ESC PQUIAL SAN JOSE","4","1"
"6271","1646","4","1636","5000","11","CASEROS 3055 B° ALTO ALBERDI","1","0011A","CAPITAL","CÓRDOBA","ESC SAN JOSE","4","1"
"6272","1655","4","1647","5000","9","SANTA ROSA 2037 B° ALTO  ALBERDI","1","0011A","CAPITAL","CÓRDOBA","ESC SAN LUIS GONZAGA","4","1"
"6273","1628","4","1619","5000","10","CASEROS Y VIEYTES B° ALTO  ALBERD","1","0011A","CAPITAL","CÓRDOBA","ESC SUP DE COMERCIO H VIEYTES","4","1"
"6274","1695","4","1685","5000","11","B° GENERAL DEHEZA","1","0011B","CAPITAL","CÓRDOBA","ESC ANTARTIDA ARGENTINA","4","1"
"6275","1684","4","1676","5000","9","J VESPIGNANI 215 B° DON  BOSCO","1","0011B","CAPITAL","CÓRDOBA","INSTITUTO TECNICO DON BOSCO","4","1"
"6276","1712","4","1696","5000","17","AV COLON 4751 B°LAS PALMAS","1","0011C","CAPITAL","CÓRDOBA","ESC GRAL SAN MARTIN","4","1"
"6277","1726","4","1713","5000","14","DUARTE QUIROS 4725 B° LAS  PALMAS","1","0011C","CAPITAL","CÓRDOBA","ESC MANUEL E PIZARRO","4","1"
"6278","1733","4","1727","5000","7","QUEBRACHO HERRADO Y YAVI  LAS PALMAS","1","0011C","CAPITAL","CÓRDOBA","ESC MUNIC JUSTO PAEZ MOLINA","4","1"
"6281","1776","4","1769","5000","8","BLAMEY LAFORE 1248 - B°SAN  RAFAEL B","1","0011D","CAPITAL","CÓRDOBA","ESC SANTISIMA TRINIDAD","4","1"
"6282","1756","4","1739","5000","18","VIEYTES SUD 1607 B° LOS  NARANJOS","1","0011D","CAPITAL","CÓRDOBA","INST JESUS MARIA","4","1"
"6283","1805","4","1799","5000","7","ALBERTO WILLIAMS ESQ.LOS  PLATANOS","1","0011E","CAPITAL","CÓRDOBA","ESC A CAPDEVILA","4","1"
"6284","1787","4","1777","5000","11","SAN LUIS 3450 - B° LOS  PLATANOS","1","0011E","CAPITAL","CÓRDOBA","ESC B DE MONTEAGUDO","4","1"
"6285","1798","4","1788","5000","11","AV LOS PLATANOS 1346","1","0011E","CAPITAL","CÓRDOBA","ESC JOSE MARMOL","4","1"
"6286","1814","4","1806","5000","9","OCHO ESQ NUEVE B°LOS  GRANAD","1","0011E","CAPITAL","CÓRDOBA","ESC PADRE T GAMBINO","4","1"
"6287","1821","4","1815","5000","7","GAONA 1285","1","0011E","CAPITAL","CÓRDOBA","ESC.MUNIC.DR.CARLOS BECERRA","4","1"
"6288","1829","4","1822","5000","8","AV DON BOSCO 5500 B° LOS  ROBLES","1","0011F","CAPITAL","CÓRDOBA","COL SAN BUENAVENTURA","4","1"
